scenario,year,zone,CAR,ARTIC,RIGID,VAN,CAR_AV,ARTIC_AV,RIGID_AV,VAN_AV,TOTAL
01-BaU,2015,E07000180,2488055.87,139335.92,110768.94,568522.75,0.0,0.0,0.0,0.0,3306683.48
01-BaU,2015,E07000181,1137528.09,31772.75,51905.96,287100.18,0.0,0.0,0.0,0.0,1508306.98
01-BaU,2015,E07000177,4569107.22,348545.59,214221.09,1195317.54,0.0,0.0,0.0,0.0,6327191.4399999995
01-BaU,2015,E07000178,669855.0,13946.0,20494.56,116247.34,0.0,0.0,0.0,0.0,820542.9
01-BaU,2015,E07000179,3012650.65,133872.5,137536.73,729314.28,0.0,0.0,0.0,0.0,4013374.16
01-BaU,2015,E06000042,3213107.53,310947.8,154546.08,916754.17,0.0,0.0,0.0,0.0,4595355.58
01-BaU,2015,E07000154,1813969.12,55445.61,52511.75,339617.03,0.0,0.0,0.0,0.0,2261543.5100000002
01-BaU,2015,E07000155,3352191.87,398127.69,180203.58,1028909.6,0.0,0.0,0.0,0.0,4959432.74
01-BaU,2015,E07000156,1147240.81,50744.89,41302.35,232692.65,0.0,0.0,0.0,0.0,1471980.7
01-BaU,2015,E07000150,327225.48,13752.49,15857.22,89231.31,0.0,0.0,0.0,0.0,446066.5
01-BaU,2015,E07000151,3393092.03,499589.45,210521.36,1107914.26,0.0,0.0,0.0,0.0,5211117.1
01-BaU,2015,E07000152,1714934.14,169196.32,89439.25,493289.22,0.0,0.0,0.0,0.0,2466858.9299999997
01-BaU,2015,E07000153,1562068.65,176293.95,75254.56,427021.51,0.0,0.0,0.0,0.0,2240638.67
01-BaU,2015,E06000056,5045769.87,489450.65,273338.04,1620657.17,0.0,0.0,0.0,0.0,7429215.73
01-BaU,2015,E06000055,1890041.04,80146.96,71025.28,465115.15,0.0,0.0,0.0,0.0,2506328.43
01-BaU,2015,E07000242,1802549.7,36844.77,65404.33,491775.46,0.0,0.0,0.0,0.0,2396574.26
01-BaU,2015,E07000243,669996.8,10365.19,15263.54,141125.97,0.0,0.0,0.0,0.0,836751.5
01-BaU,2015,E07000240,3583935.23,323391.38,174600.05,887156.04,0.0,0.0,0.0,0.0,4969082.7
01-BaU,2015,E07000241,1666319.14,30497.54,52605.92,329721.13,0.0,0.0,0.0,0.0,2079143.73
01-BaU,2015,E07000008,596896.31,27766.2,18837.71,153552.62,0.0,0.0,0.0,0.0,797052.84
01-BaU,2015,E07000009,1493979.04,133531.88,75595.03,429816.35,0.0,0.0,0.0,0.0,2132922.3
01-BaU,2015,E07000004,2487896.6,76064.72,88098.61,571063.96,0.0,0.0,0.0,0.0,3223123.89
01-BaU,2015,E07000005,1400444.49,51437.98,50701.79,275384.85,0.0,0.0,0.0,0.0,1777969.1099999999
01-BaU,2015,E07000006,3766706.2,157796.4,160797.65,821036.24,0.0,0.0,0.0,0.0,4906336.49
01-BaU,2015,E07000007,2697284.33,110040.17,108862.29,687513.54,0.0,0.0,0.0,0.0,3603700.33
01-BaU,2015,E07000011,3754985.21,532490.68,186625.68,857699.74,0.0,0.0,0.0,0.0,5331801.31
01-BaU,2015,E07000012,4440699.0,422411.26,203220.17,1096615.25,0.0,0.0,0.0,0.0,6162945.68
01-BaU,2015,E07000010,742222.17,62506.0,40853.17,200045.67,0.0,0.0,0.0,0.0,1045627.01
01-BaU,2015,E06000032,856092.53,46582.78,32034.33,235801.88,0.0,0.0,0.0,0.0,1170511.52
01-BaU,2015,E06000030,2540339.96,155986.01,90475.0,644366.46,0.0,0.0,0.0,0.0,3431167.4299999997
01-BaU,2015,E06000031,2362829.95,163074.88,87626.32,534165.53,0.0,0.0,0.0,0.0,3147696.68
01-BaU,2015,E07000102,2511395.59,136419.3,105212.94,501580.32,0.0,0.0,0.0,0.0,3254608.1499999994
01-BaU,2015,E07000103,509662.14,2735.58,11757.14,116339.19,0.0,0.0,0.0,0.0,640494.05
01-BaU,2015,E07000099,2095198.71,48092.67,57904.09,389889.75,0.0,0.0,0.0,0.0,2591085.2199999997
01-BaU,2015,E07000095,674705.64,20015.14,33438.37,187889.75,0.0,0.0,0.0,0.0,916048.9
01-BaU,2015,E07000096,1781037.94,71821.2,65569.16,420333.49,0.0,0.0,0.0,0.0,2338761.79
01-BaU,2015,E07000098,2568531.08,145591.5,126434.84,666519.61,0.0,0.0,0.0,0.0,3507077.0300000003
01-BaU,2020,E07000180,2747092.37,149122.04,124147.7,622534.77,0.0,0.0,0.0,0.0,3642896.88
01-BaU,2020,E07000181,1114972.62,30222.29,51571.87,293816.53,0.0,0.0,0.0,0.0,1490583.31
01-BaU,2020,E07000177,4876656.85,367573.85,225472.34,1230884.18,0.0,0.0,0.0,0.0,6700587.219999999
01-BaU,2020,E07000178,673920.4,15917.82,20822.78,119707.07,0.0,0.0,0.0,0.0,830368.07
01-BaU,2020,E07000179,3105669.87,140310.25,140658.74,737251.46,0.0,0.0,0.0,0.0,4123890.3200000003
01-BaU,2020,E06000042,3452017.72,332929.53,159600.01,938694.33,0.0,0.0,0.0,0.0,4883241.59
01-BaU,2020,E07000154,1907877.2,57783.31,54738.0,353677.21,0.0,0.0,0.0,0.0,2374075.72
01-BaU,2020,E07000155,3634800.12,427114.87,190251.59,1057698.83,0.0,0.0,0.0,0.0,5309865.41
01-BaU,2020,E07000156,1225820.31,51805.22,42336.89,246298.14,0.0,0.0,0.0,0.0,1566260.56
01-BaU,2020,E07000150,357630.03,14230.63,16821.43,94545.67,0.0,0.0,0.0,0.0,483227.76
01-BaU,2020,E07000151,3631519.67,530197.3,219257.38,1121894.11,0.0,0.0,0.0,0.0,5502868.46
01-BaU,2020,E07000152,1845117.77,171572.55,91967.9,517721.0,0.0,0.0,0.0,0.0,2626379.22
01-BaU,2020,E07000153,1670230.63,183660.55,79237.27,450514.88,0.0,0.0,0.0,0.0,2383643.33
01-BaU,2020,E06000056,5486909.85,527425.58,290880.99,1678831.97,0.0,0.0,0.0,0.0,7984048.39
01-BaU,2020,E06000055,2076212.14,87218.68,73740.71,495468.28,0.0,0.0,0.0,0.0,2732639.8099999996
01-BaU,2020,E07000242,1908232.45,39424.28,68371.77,508984.55,0.0,0.0,0.0,0.0,2525013.05
01-BaU,2020,E07000243,671077.7,11174.74,15897.27,145653.79,0.0,0.0,0.0,0.0,843803.5
01-BaU,2020,E07000240,3897229.84,348950.99,184585.85,905383.76,0.0,0.0,0.0,0.0,5336150.44
01-BaU,2020,E07000241,1581989.49,33973.29,53844.05,329329.87,0.0,0.0,0.0,0.0,1999136.7
01-BaU,2020,E07000008,619458.9,27590.79,18845.51,157984.81,0.0,0.0,0.0,0.0,823880.01
01-BaU,2020,E07000009,1548207.02,137706.87,77186.13,444353.01,0.0,0.0,0.0,0.0,2207453.0300000003
01-BaU,2020,E07000004,2818340.18,81604.93,93242.3,602263.2,0.0,0.0,0.0,0.0,3595450.6100000003
01-BaU,2020,E07000005,1505436.74,59202.79,58344.85,293484.3,0.0,0.0,0.0,0.0,1916468.68
01-BaU,2020,E07000006,4057403.33,174541.84,176864.3,848078.21,0.0,0.0,0.0,0.0,5256887.68
01-BaU,2020,E07000007,2926064.33,118561.23,110617.53,698734.74,0.0,0.0,0.0,0.0,3853977.83
01-BaU,2020,E07000011,3911557.88,547117.01,192548.68,892725.06,0.0,0.0,0.0,0.0,5543948.63
01-BaU,2020,E07000012,4543711.31,424739.91,206284.13,1123733.17,0.0,0.0,0.0,0.0,6298468.52
01-BaU,2020,E07000010,816998.0,64610.07,42127.77,206927.05,0.0,0.0,0.0,0.0,1130662.89
01-BaU,2020,E06000032,930111.57,50268.12,33311.54,240329.35,0.0,0.0,0.0,0.0,1254020.58
01-BaU,2020,E06000030,2742191.59,167437.18,95969.58,676583.52,0.0,0.0,0.0,0.0,3682181.87
01-BaU,2020,E06000031,2547310.28,168131.79,92478.02,568500.37,0.0,0.0,0.0,0.0,3376420.46
01-BaU,2020,E07000102,2773542.01,154375.61,122115.28,542572.22,0.0,0.0,0.0,0.0,3592605.1199999996
01-BaU,2020,E07000103,558614.78,2767.38,12705.96,122706.28,0.0,0.0,0.0,0.0,696794.4
01-BaU,2020,E07000099,2073927.43,48024.33,60379.45,398403.11,0.0,0.0,0.0,0.0,2580734.32
01-BaU,2020,E07000095,688357.31,20882.01,34933.79,191858.95,0.0,0.0,0.0,0.0,936032.06
01-BaU,2020,E07000096,1939149.6,77340.11,70474.82,445175.1,0.0,0.0,0.0,0.0,2532139.6300000004
01-BaU,2020,E07000098,2646103.37,152087.31,129658.82,664738.56,0.0,0.0,0.0,0.0,3592588.0600000005
01-BaU,2030,E07000180,2933520.08,159143.58,140462.21,711223.13,0.0,0.0,0.0,0.0,3944349.0
01-BaU,2030,E07000181,1347732.25,35787.67,58138.49,316098.4,0.0,0.0,0.0,0.0,1757756.81
01-BaU,2030,E07000177,5370268.9,396704.41,251884.87,1298871.07,0.0,0.0,0.0,0.0,7317729.25
